index,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,is_zero_adr,is_group_block
33,Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,0,0,Transient,65.5,0,0,Check-Out,2015-07-08,0,0
34,Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,2015-05-19,0,0
35,Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,2015-06-19,0,0
36,Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,98.0,0,0,Check-Out,2015-07-06,0,0
37,Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Check-Out,2015-07-06,0,0
38,Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,0,Canceled,2015-05-23,0,0
39,Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,0,Transient,137.0,0,1,Check-Out,2015-07-07,0,0
40,Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Canceled,2015-05-18,0,0
41,Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,2015-07-07,0,0
42,Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,2015-07-07,0,0
44,Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,110.7,0,2,Check-Out,2015-07-09,0,0
45,Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,0,Transient,153.0,0,0,Canceled,2015-06-02,0,0
46,Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,0,Transient,58.95,0,1,Check-Out,2015-07-09,0,0
47,Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,0,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,0,0
48,Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,0,0,Contract,82.35,0,0,Check-Out,2015-07-09,0,0
49,Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,0,0,Transient,119.35,0,1,Check-Out,2015-07-09,0,0
50,Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,0,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09,0,0
51,Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,0,0,Contract,56.01,0,0,Check-Out,2015-07-13,0,0
52,Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,0,0,Contract,110.7,0,0,Check-Out,2015-07-16,0,0
53,Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,88.2,1,0,Check-Out,2015-07-03,0,0
54,Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,0,Transient,147.0,1,0,Check-Out,2015-07-03,0,0
55,Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,0,Transient,107.0,1,2,Check-Out,2015-07-03,0,0
56,Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,0,0,Transient,147.0,0,0,Check-Out,2015-07-03,0,0
57,Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,0,0,Transient,117.9,0,2,Check-Out,2015-07-03,0,0
58,Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,2015-07-03,0,0
59,Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,0,0,Transient,98.0,0,1,Check-Out,2015-07-04,0,0
60,Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Check-Out,2015-07-04,0,0
61,Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,135.0,1,2,Check-Out,2015-07-04,0,0
62,Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,0,0,Transient,133.0,0,1,Check-Out,2015-07-05,0,0
63,Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,0,0,Contract,58.95,0,0,Check-Out,2015-07-05,0,0
64,Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,136.33,0,2,Canceled,2015-06-29,0,0
65,Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,0,0,Transient,153.0,1,0,Check-Out,2015-07-05,0,0
66,Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,110.5,0,0,Check-Out,2015-07-05,0,0
67,Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,0,0,Transient,97.0,0,0,Check-Out,2015-07-05,0,0
68,Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,2,Canceled,2015-06-16,0,0
69,Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,82.0,0,2,Canceled,2015-06-18,0,0
70,Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,97.0,0,1,Canceled,2015-07-03,0,0
71,Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,1,Canceled,2015-06-12,0,0
72,Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,0,0,Transient,91.5,0,0,Check-Out,2015-07-05,0,0
73,Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,114.5,0,0,Check-Out,2015-07-05,0,0
74,Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,0,Canceled,2015-06-09,0,0
75,Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,90.9,1,0,Check-Out,2015-07-06,0,0
76,Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Canceled,2015-05-26,0,0
77,Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,122.0,0,0,Check-Out,2015-07-07,0,0
78,Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,0,0,Transient,110.7,1,0,Check-Out,2015-07-07,0,0
79,Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,85.86,0,0,Check-Out,2015-07-11,0,0
80,Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,58.95,0,0,Check-Out,2015-07-12,0,0
81,Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,55.68,0,0,Canceled,2015-05-19,0,0
82,Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,55.68,0,0,Check-Out,2015-07-13,0,0
83,Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,0,0,Transient,124.0,0,1,Canceled,2015-06-09,0,0
84,Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,0,0,Contract,111.15,0,0,Check-Out,2015-07-13,0,0
85,Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,0,Contract,134.73,0,0,Check-Out,2015-07-17,0,0
86,Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,0,0,Transient,92.45,0,1,Check-Out,2015-07-17,0,0
87,Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,108.73,0,2,Canceled,2015-04-15,0,0
88,Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,73.8,0,0,Check-Out,2015-07-04,0,0
89,Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,98.0,1,2,Check-Out,2015-07-04,0,0
90,Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,131.0,0,1,Check-Out,2015-07-04,0,0
91,Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Check-Out,2015-07-04,0,0
92,Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,0,0,Transient,94.71,0,0,Check-Out,2015-07-04,0,0
93,Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,123.0,0,2,Check-Out,2015-07-04,0,0
94,Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,123.0,0,1,Canceled,2015-05-26,0,0
95,Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,1,Canceled,2015-06-29,0,0
96,Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,0,0,Transient,117.0,0,1,Canceled,2015-05-13,0,0
97,Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,0,0,Transient,196.54,0,1,Check-Out,2015-07-10,0,0
98,Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,99.3,1,2,Check-Out,2015-07-10,0,0
99,Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,0,Transient,90.95,0,0,Check-Out,2015-07-10,0,0
100,Resort Hotel,0,4,2015,July,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250,0,0,Transient,92.67,0,1,Check-Out,2015-07-07,0,0
101,Resort Hotel,0,98,2015,July,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Transient,71.55,1,0,Check-Out,2015-07-07,0,0
102,Resort Hotel,0,92,2015,July,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,0,0,Transient,96.49,0,2,Check-Out,2015-07-10,0,0
103,Resort Hotel,0,95,2015,July,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,85.8,1,2,Check-Out,2015-07-10,0,0
104,Resort Hotel,0,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,96.3,0,1,Check-Out,2015-07-11,0,0
105,Resort Hotel,1,26,2015,July,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,0,Transient,163.0,0,0,Canceled,2015-06-09,0,0
106,Resort Hotel,1,73,2015,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,0,Transient,172.0,0,1,Canceled,2015-05-20,0,0
107,Resort Hotel,1,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,110.7,0,1,Canceled,2015-04-22,0,0
108,Resort Hotel,0,115,2015,July,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,0,Transient,58.95,0,1,Check-Out,2015-07-11,0,0
109,Resort Hotel,0,102,2015,July,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,2,Check-Out,2015-07-11,0,0
110,Resort Hotel,0,86,2015,July,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,97.0,0,2,Check-Out,2015-07-11,0,0
111,Resort Hotel,0,78,2015,July,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,0,0,Transient,139.0,0,2,Check-Out,2015-07-11,0,0
112,Resort Hotel,0,52,2015,July,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,0,0,Transient,67.24,0,0,Check-Out,2015-07-11,0,0
113,Resort Hotel,0,29,2015,July,27,4,2,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,0,0,Transient,116.5,0,1,Check-Out,2015-07-12,0,0
114,Resort Hotel,1,101,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,96.3,0,1,Canceled,2015-05-12,0,0
115,Resort Hotel,0,109,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,123.0,0,1,Check-Out,2015-07-12,0,0
116,Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,0,0,Contract,71.55,0,1,Check-Out,2015-07-14,0,0
117,Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,0,0,Contract,71.55,0,1,Check-Out,2015-07-14,0,0
118,Resort Hotel,0,79,2015,July,27,4,4,6,2,1,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,0,0,Transient,149.0,0,1,Check-Out,2015-07-14,0,0
119,Resort Hotel,0,2,2015,July,27,4,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,240,0,0,Transient,163.0,1,0,Check-Out,2015-07-05,0,0
120,Resort Hotel,0,30,2015,July,27,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,2015-07-05,0,0
121,Resort Hotel,1,51,2015,July,27,4,0,1,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,105.0,0,0,Canceled,2015-05-29,0,0
122,Resort Hotel,1,36,2015,July,27,4,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,E,G,1,No Deposit,250,0,0,Transient,123.0,0,0,No-Show,2015-07-04,0,0
123,Resort Hotel,1,73,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,2,Canceled,2015-05-13,0,0
124,Resort Hotel,1,33,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,113.0,0,0,Canceled,2015-06-16,0,0
125,Resort Hotel,0,32,2015,July,27,4,0,1,4,0,0,FB,PRT,Complementary,Direct,0,0,0,H,H,2,No Deposit,0,0,0,Transient,0.0,0,1,Check-Out,2015-07-05,0,0
126,Resort Hotel,0,8,2015,July,27,4,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Check-Out,2015-07-05,0,0
127,Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient-Party,73.8,1,1,Check-Out,2015-07-06,0,0
128,Resort Hotel,0,1,2015,July,27,4,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,114.5,0,0,Check-Out,2015-07-06,0,0
129,Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient-Party,73.8,0,2,Check-Out,2015-07-06,0,0
130,Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient-Party,73.8,0,1,Check-Out,2015-07-06,0,0
131,Resort Hotel,0,9,2015,July,28,5,1,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,88.2,0,1,Check-Out,2015-07-06,0,0
132,Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,97.0,0,0,Canceled,2015-07-01,0,0
133,Resort Hotel,0,0,2015,July,28,5,1,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,306,0,0,Transient,85.1,0,0,Check-Out,2015-07-06,0,0
